                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84977,                 0.6923,                0.87267,                0.89454,                0.74575,                 0.7993,                  0.577,                0.67208,                 0.5011,                0.83817,             0.00021632,             0.00021632,             0.00021632
                      2,                0.89075,                0.72758,                0.88146,                0.85532,                 0.6735,                0.77973,                 0.5669,                0.68321,                 0.5113,                0.84132,             0.00043431,             0.00043431,             0.00043431
                      3,                0.88805,                0.72269,                0.88098,                0.73953,                0.66141,                0.71195,                0.50414,                0.72428,                0.57282,                0.85749,              0.0006479,              0.0006479,              0.0006479
                      4,                0.90057,                0.73908,                0.88418,                 0.8042,                0.67017,                0.76232,                0.55849,                0.71245,                0.58692,                0.84873,             0.00064719,             0.00064719,             0.00064719
                      5,                 0.8848,                0.72644,                0.88264,                0.67003,                0.71987,                0.66599,                0.50914,                0.71503,                0.55371,                0.84798,             0.00064059,             0.00064059,             0.00064059
                      6,                0.91118,                0.73463,                0.88523,                0.85613,                  0.547,                0.64536,                0.48311,                0.71889,                0.60679,                 0.8524,             0.00063398,             0.00063398,             0.00063398
                      7,                0.88968,                0.73054,                0.88589,                0.73197,                0.66812,                0.72008,                0.52143,                0.77608,                0.60772,                0.86049,             0.00062738,             0.00062738,             0.00062738
                      8,                0.89413,                0.71434,                0.88281,                0.67281,                0.67623,                0.65773,                0.47382,                0.74476,                0.57046,                0.85901,             0.00062078,             0.00062078,             0.00062078
                      9,                0.88608,                0.72049,                0.88921,                0.84527,                0.57522,                0.68401,                0.48829,                0.76681,                0.63428,                0.85765,             0.00061417,             0.00061417,             0.00061417
                     10,                0.89514,                0.71101,                0.87661,                0.62648,                0.67346,                0.68527,                0.47866,                0.74098,                0.58077,                0.85852,             0.00060757,             0.00060757,             0.00060757
                     11,                0.87275,                0.68402,                 0.8837,                0.79292,                0.67595,                0.71974,                0.52368,                 0.7246,                0.55856,                0.85435,             0.00060097,             0.00060097,             0.00060097
                     12,                0.87536,                0.69496,                0.87218,                0.77528,                0.64844,                0.70506,                 0.5101,                 0.7727,                0.58887,                0.86229,             0.00059436,             0.00059436,             0.00059436
                     13,                0.88073,                 0.6853,                0.87883,                0.82874,                0.66495,                0.71685,                0.52278,                0.74446,                0.56246,                0.85895,             0.00058776,             0.00058776,             0.00058776
                     14,                0.88793,                0.68322,                0.88117,                0.70435,                 0.6967,                0.72303,                0.51627,                0.74274,                0.58572,                0.85862,             0.00058116,             0.00058116,             0.00058116
                     15,                0.88633,                0.67697,                0.88779,                  0.803,                0.65942,                0.72929,                0.52018,                0.75443,                0.58009,                0.86338,             0.00057455,             0.00057455,             0.00057455
                     16,                0.90182,                0.67894,                0.88843,                0.78223,                0.67412,                 0.7356,                0.52887,                0.77146,                0.58679,                0.86238,             0.00056795,             0.00056795,             0.00056795
                     17,                0.86201,                0.66216,                0.87805,                0.75422,                0.69299,                0.72183,                0.51742,                0.75284,                0.57151,                 0.8616,             0.00056135,             0.00056135,             0.00056135
                     18,                0.86049,                0.65487,                0.88153,                0.69768,                0.66177,                0.67797,                0.49173,                0.73623,                0.57598,                0.85558,             0.00055474,             0.00055474,             0.00055474
