                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7329,                 3.9496,                 1.1763,                0.01425,                0.32592,                0.09213,                  0.054,                 1.3174,                 3.6165,                0.97227,             0.00021632,             0.00021632,             0.00021632
                      2,                 1.5438,                 2.3037,                  1.021,                 0.8715,                 0.1572,                0.13505,                0.08498,                 1.3119,                 2.1822,                0.93754,             0.00043431,             0.00043431,             0.00043431
                      3,                  1.369,                 1.8245,                0.97613,                0.66958,                0.17441,                0.13757,                0.08729,                 1.1648,                  2.132,                0.96334,              0.0006479,              0.0006479,              0.0006479
                      4,                 1.3268,                 1.7948,                0.97891,                0.67779,                0.25169,                 0.1712,                0.12305,                 1.0787,                 1.5072,                0.94496,             0.00064719,             0.00064719,             0.00064719
                      5,                 1.2866,                 1.6357,                0.97458,                0.69082,                0.28487,                0.19282,                0.12778,                 1.0701,                 1.4091,                0.94728,             0.00064059,             0.00064059,             0.00064059
                      6,                 1.2242,                 1.5321,                0.96004,                0.74299,                0.30982,                0.26802,                0.16712,                 1.0341,                 1.2707,                0.93965,             0.00063398,             0.00063398,             0.00063398
                      7,                 1.1591,                  1.448,                0.95093,                0.81769,                0.25374,                0.28185,                 0.1917,                 1.0414,                  1.347,                0.92792,             0.00062738,             0.00062738,             0.00062738
                      8,                 1.1627,                 1.4052,                0.94259,                0.79189,                0.27272,                0.29704,                 0.1998,                0.95062,                 1.2306,                0.92201,             0.00062078,             0.00062078,             0.00062078
                      9,                  1.142,                 1.3845,                0.95135,                0.82723,                0.28193,                0.31363,                0.21878,                 1.0079,                 1.1588,                 0.9124,             0.00061417,             0.00061417,             0.00061417
                     10,                 1.0973,                 1.3116,                 0.9251,                 0.8353,                0.27123,                0.32495,                0.23236,                0.93195,                 1.1972,                0.90567,             0.00060757,             0.00060757,             0.00060757
                     11,                 1.0797,                 1.2769,                0.93004,                 0.7915,                0.34483,                0.33081,                0.22849,                0.91871,                 1.1518,                0.90278,             0.00060097,             0.00060097,             0.00060097
                     12,                 1.0649,                 1.2426,                0.93107,                0.92413,                0.28608,                0.35975,                0.25245,                0.90142,                  1.085,                0.89829,             0.00059436,             0.00059436,             0.00059436
                     13,                 1.0794,                 1.2371,                0.92087,                0.80953,                0.32471,                0.36681,                 0.2559,                0.93787,                 1.1022,                0.90422,             0.00058776,             0.00058776,             0.00058776
                     14,                 1.0422,                 1.1969,                0.92091,                0.77582,                0.39508,                0.38451,                0.26418,                0.90441,                 1.0105,                 0.9062,             0.00058116,             0.00058116,             0.00058116
                     15,                 1.0668,                 1.1687,                0.92835,                0.78097,                0.39681,                0.39952,                0.28336,                0.92092,                 1.0373,                0.90098,             0.00057455,             0.00057455,             0.00057455
                     16,                 1.0227,                 1.0921,                0.92448,                 0.8144,                 0.3793,                 0.4182,                0.28891,                0.91538,                 1.0228,                0.90102,             0.00056795,             0.00056795,             0.00056795
                     17,                 1.0269,                 1.1056,                0.91877,                0.72062,                0.44053,                0.43825,                0.31639,                0.88214,                0.95204,                0.89568,             0.00056135,             0.00056135,             0.00056135
                     18,                 1.0149,                 1.0687,                 0.9169,                 0.6457,                 0.4105,                0.44198,                0.32065,                0.86922,                0.94156,                0.89349,             0.00055474,             0.00055474,             0.00055474
                     19,                 1.0259,                 1.0308,                0.90776,                0.77125,                0.40167,                0.44227,                0.31534,                0.91523,                0.93426,                 0.9005,             0.00054814,             0.00054814,             0.00054814
                     20,                 1.0048,                 1.0294,                0.90894,                0.80067,                0.40922,                0.45433,                0.33613,                0.89389,                0.92812,                0.89614,             0.00054154,             0.00054154,             0.00054154
                     21,                0.98364,                 1.0262,                0.89798,                0.69984,                 0.4288,                0.46845,                0.33108,                 0.8862,                0.97289,                0.89896,             0.00053493,             0.00053493,             0.00053493
