                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85912,                0.69126,                0.87394,                0.91517,                0.79509,                0.90163,                0.72843,                0.64595,                0.51485,                0.83267,             0.00021632,             0.00021632,             0.00021632
                      2,                0.87649,                0.72688,                0.87659,                0.94796,                0.78755,                0.87367,                0.72076,                0.68642,                0.54575,                0.84495,             0.00043431,             0.00043431,             0.00043431
                      3,                0.87733,                0.73452,                0.87221,                 0.9127,                0.78489,                0.89154,                0.71723,                0.70607,                0.56218,                0.84459,              0.0006479,              0.0006479,              0.0006479
                      4,                0.90469,                 0.7511,                0.88014,                0.89294,                0.76768,                0.88775,                 0.6972,                0.73069,                0.60611,                0.84753,             0.00064719,             0.00064719,             0.00064719
                      5,                0.89427,                0.73838,                0.88296,                0.89383,                0.69789,                0.83942,                0.64085,                0.75175,                0.58281,                0.85341,             0.00064059,             0.00064059,             0.00064059
                      6,                0.91061,                0.72238,                0.88322,                0.66689,                0.84593,                0.80086,                0.59234,                0.76859,                0.59238,                0.85631,             0.00063398,             0.00063398,             0.00063398
                      7,                0.90387,                0.72258,                0.88846,                0.84278,                0.71687,                0.85352,                0.62704,                0.79211,                0.57764,                0.85905,             0.00062738,             0.00062738,             0.00062738
                      8,                0.90422,                0.71632,                0.88088,                0.80527,                0.82117,                0.81338,                0.61575,                0.73216,                0.56519,                0.84945,             0.00062078,             0.00062078,             0.00062078
                      9,                0.87985,                0.71928,                0.88968,                0.89722,                0.73844,                 0.8146,                0.62369,                0.75063,                0.54537,                0.84691,             0.00061417,             0.00061417,             0.00061417
                     10,                0.87395,                0.68728,                0.87064,                0.85746,                0.72781,                0.78758,                0.59254,                0.73618,                0.60791,                 0.8458,             0.00060757,             0.00060757,             0.00060757
                     11,                0.86338,                 0.6805,                0.87883,                 0.8581,                 0.7873,                0.84883,                0.64286,                0.73431,                0.58402,                0.85135,             0.00060097,             0.00060097,             0.00060097
                     12,                0.87006,                0.68519,                 0.8757,                0.85262,                0.80083,                0.83196,                0.62524,                0.77716,                0.59351,                0.85903,             0.00059436,             0.00059436,             0.00059436
                     13,                0.85921,                0.67969,                0.87645,                0.76694,                0.76644,                0.82064,                 0.6219,                0.73139,                0.56113,                0.85231,             0.00058776,             0.00058776,             0.00058776
                     14,                 0.8836,                0.68324,                 0.8908,                0.72512,                0.74871,                0.78245,                0.60168,                0.79013,                0.57739,                0.86656,             0.00058116,             0.00058116,             0.00058116
                     15,                0.86997,                 0.6697,                0.88248,                0.92425,                 0.6454,                0.78659,                0.59297,                0.76444,                0.58897,                0.86127,             0.00057455,             0.00057455,             0.00057455
                     16,                0.87362,                0.66448,                0.88077,                0.84236,                0.70597,                0.78604,                0.58709,                0.75863,                0.59674,                0.85869,             0.00056795,             0.00056795,             0.00056795
                     17,                0.84776,                0.64468,                0.87584,                0.92091,                0.70204,                0.81707,                0.60889,                0.74861,                0.59234,                0.85944,             0.00056135,             0.00056135,             0.00056135
                     18,                 0.8419,                0.64879,                0.87561,                0.91596,                0.74303,                0.80389,                0.62375,                0.73434,                0.59061,                0.85195,             0.00055474,             0.00055474,             0.00055474
                     19,                0.85159,                0.64709,                0.87072,                0.84528,                0.75512,                0.80189,                 0.5945,                 0.7593,                0.59506,                0.85937,             0.00054814,             0.00054814,             0.00054814
                     20,                0.85247,                0.66438,                0.87753,                0.86109,                0.69334,                0.79285,                0.56719,                0.76802,                0.63713,                0.86239,             0.00054154,             0.00054154,             0.00054154
                     21,                0.83693,                0.64504,                0.87048,                0.77795,                0.73874,                0.78096,                0.55618,                0.75727,                0.58663,                0.86065,             0.00053493,             0.00053493,             0.00053493
                     22,                0.84437,                0.63877,                 0.8764,                0.76918,                0.73087,                0.78547,                0.56834,                0.77895,                0.61318,                0.86239,             0.00052833,             0.00052833,             0.00052833
                     23,                0.84795,                0.63742,                0.87359,                0.80002,                0.66139,                0.73173,                 0.5655,                0.78878,                0.58374,                0.86729,             0.00052173,             0.00052173,             0.00052173
                     24,                0.84361,                 0.6253,                0.87399,                0.77967,                0.74134,                0.78213,                0.56194,                0.75746,                0.58232,                0.85911,             0.00051512,             0.00051512,             0.00051512
                     25,                0.82777,                0.60966,                0.86844,                 0.9033,                0.67441,                0.78851,                 0.5723,                0.78753,                0.59329,                0.86503,             0.00050852,             0.00050852,             0.00050852
                     26,                0.85391,                0.62962,                0.87583,                0.90462,                0.67818,                0.77956,                0.56972,                0.78176,                0.63114,                0.86493,             0.00050192,             0.00050192,             0.00050192
                     27,                0.84046,                0.62918,                0.87309,                0.91687,                0.69105,                0.77454,                0.57462,                 0.7532,                0.59144,                0.85877,             0.00049531,             0.00049531,             0.00049531
                     28,                0.82222,                0.60647,                0.87455,                0.84952,                0.78169,                0.81414,                0.57889,                0.76427,                0.59569,                0.85789,             0.00048871,             0.00048871,             0.00048871
                     29,                0.83222,                0.62664,                0.87256,                0.89772,                0.75612,                0.82126,                0.63082,                0.76736,                0.57773,                0.85926,             0.00048211,             0.00048211,             0.00048211
                     30,                0.85051,                 0.6286,                0.87208,                0.90278,                0.69728,                0.81033,                0.61436,                0.77864,                0.60851,                0.86644,              0.0004755,              0.0004755,              0.0004755
                     31,                0.82972,                0.60906,                0.86593,                   0.88,                0.69399,                0.81147,                0.60928,                0.77061,                0.57923,                0.86468,              0.0004689,              0.0004689,              0.0004689
                     32,                0.83309,                0.61094,                0.86935,                0.78356,                0.75449,                0.79139,                0.56871,                0.76492,                0.58091,                 0.8629,              0.0004623,              0.0004623,              0.0004623
                     33,                0.81797,                0.59607,                0.87841,                0.83011,                0.73526,                0.79663,                0.58756,                  0.771,                  0.569,                0.86224,             0.00045569,             0.00045569,             0.00045569
                     34,                0.84308,                 0.5978,                0.86078,                0.78231,                0.75895,                0.78453,                0.57405,                0.77243,                0.59846,                0.85962,             0.00044909,             0.00044909,             0.00044909
                     35,                0.82415,                0.58774,                0.86323,                0.83876,                0.73976,                0.77185,                0.56695,                0.76809,                0.60228,                0.86075,             0.00044249,             0.00044249,             0.00044249
                     36,                0.82499,                0.58273,                0.86421,                0.74498,                0.76348,                0.78118,                0.56333,                0.76568,                0.59546,                0.85954,             0.00043588,             0.00043588,             0.00043588
