                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7778,                 3.9389,                 1.1776,                0.01438,                0.34021,                0.08508,                0.04834,                 1.3523,                  3.567,                 0.9815,             0.00021632,             0.00021632,             0.00021632
                      2,                  1.548,                 2.1964,                 1.0078,                0.89337,                0.15934,                0.13535,                0.08186,                 1.2715,                 2.0781,                0.92223,             0.00043431,             0.00043431,             0.00043431
                      3,                 1.3875,                 1.8077,                0.97924,                0.76239,                0.17446,                0.15299,                0.09435,                 1.1978,                 1.8516,                0.95405,              0.0006479,              0.0006479,              0.0006479
                      4,                 1.3108,                 1.6885,                0.96333,                0.65861,                0.23372,                 0.1711,                0.10881,                 1.2013,                 1.6156,                0.95624,             0.00064719,             0.00064719,             0.00064719
                      5,                 1.2601,                 1.6458,                0.96604,                0.77456,                0.21136,                0.19221,                0.12693,                 1.0091,                 1.2803,                0.93023,             0.00064059,             0.00064059,             0.00064059
                      6,                 1.2297,                 1.5013,                0.96725,                0.73848,                0.35092,                 0.2694,                0.18244,                 1.0398,                 1.2897,                0.93024,             0.00063398,             0.00063398,             0.00063398
                      7,                 1.1906,                 1.4772,                0.95592,                0.75392,                0.36271,                0.29514,                0.20839,                0.96893,                 1.2113,                0.92478,             0.00062738,             0.00062738,             0.00062738
                      8,                 1.2017,                 1.4256,                 0.9652,                0.77312,                0.32944,                0.29857,                0.20504,                0.95183,                 1.2207,                0.91153,             0.00062078,             0.00062078,             0.00062078
                      9,                 1.1235,                  1.359,                0.94885,                0.79772,                0.32863,                0.31165,                0.21027,                0.92636,                 1.1933,                0.89998,             0.00061417,             0.00061417,             0.00061417
                     10,                 1.1117,                 1.3512,                0.92316,                0.79186,                 0.3621,                0.30982,                0.22294,                0.91568,                 1.1333,                0.90808,             0.00060757,             0.00060757,             0.00060757
                     11,                 1.0827,                 1.3147,                0.93374,                0.83036,                0.31566,                0.32707,                0.22934,                0.94477,                 1.0669,                0.91139,             0.00060097,             0.00060097,             0.00060097
