                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.80335,                0.58876,                0.85781,                0.80537,                0.76171,                0.81762,                0.58674,                0.78721,                0.56607,                0.86086,             0.00043588,             0.00043588,             0.00043588
                     37,                0.80334,                 0.5729,                0.85705,                 0.8043,                0.75304,                0.85136,                0.61132,                0.78438,                0.55585,                0.86144,             0.00042928,             0.00042928,             0.00042928
                     38,                0.77945,                0.56089,                0.86354,                0.64432,                0.93522,                0.91297,                0.66059,                0.76257,                0.56807,                0.85452,             0.00042268,             0.00042268,             0.00042268
                     39,                0.79879,                0.57118,                0.86377,                0.74108,                0.77155,                0.82124,                0.59702,                0.76465,                0.55286,                0.85691,             0.00041607,             0.00041607,             0.00041607
                     40,                0.78966,                0.56942,                0.85914,                0.76705,                0.70587,                0.79408,                0.56086,                0.76568,                0.55761,                  0.853,             0.00040947,             0.00040947,             0.00040947
                     41,                0.79793,                0.55665,                0.85808,                0.76354,                0.74271,                0.76755,                0.54637,                0.76388,                0.55261,                0.85406,             0.00040287,             0.00040287,             0.00040287
                     42,                0.80259,                0.56811,                0.86435,                0.78773,                0.71026,                0.77153,                0.55639,                0.77842,                0.56857,                0.85394,             0.00039626,             0.00039626,             0.00039626
                     43,                0.77143,                0.53837,                  0.859,                0.77433,                0.78942,                0.80625,                0.56403,                0.78254,                 0.5628,                0.85666,             0.00038966,             0.00038966,             0.00038966
                     44,                0.76447,                0.53836,                0.84883,                0.80075,                0.77975,                0.83848,                0.60114,                0.80234,                0.57092,                   0.86,             0.00038306,             0.00038306,             0.00038306
                     45,                0.78584,                0.54509,                 0.8631,                0.78319,                0.74325,                0.81547,                0.57802,                  0.773,                0.56588,                0.85725,             0.00037645,             0.00037645,             0.00037645
                     46,                0.78446,                 0.5577,                 0.8616,                 0.6698,                0.87151,                0.89619,                0.65581,                0.74625,                0.58315,                0.85261,             0.00036985,             0.00036985,             0.00036985
                     47,                0.77942,                0.55266,                0.85208,                0.65416,                0.86841,                 0.8472,                0.61006,                0.75545,                0.57636,                0.85185,             0.00036325,             0.00036325,             0.00036325
                     48,                0.77461,                0.54655,                0.85487,                0.72241,                0.86481,                0.85877,                0.62796,                0.76448,                0.57874,                0.85394,             0.00035664,             0.00035664,             0.00035664
                     49,                0.77465,                0.53977,                0.85482,                0.83611,                0.76497,                0.82903,                0.59036,                0.75848,                0.56724,                0.85386,             0.00035004,             0.00035004,             0.00035004
                     50,                0.77384,                0.54671,                0.85802,                0.87432,                0.72378,                0.83068,                0.58857,                0.76582,                0.55013,                0.85444,             0.00034344,             0.00034344,             0.00034344
                     51,                0.78347,                0.54698,                0.85811,                0.78055,                0.74455,                0.79277,                0.58152,                 0.7731,                0.56121,                0.85718,             0.00033683,             0.00033683,             0.00033683
                     52,                0.75762,                0.52563,                0.85091,                0.82098,                0.72167,                0.79138,                0.57922,                0.75168,                0.55189,                0.85696,             0.00033023,             0.00033023,             0.00033023
                     53,                0.75918,                 0.5172,                0.85414,                0.79559,                 0.7899,                0.81226,                0.57624,                0.77326,                0.56216,                0.85879,             0.00032363,             0.00032363,             0.00032363
                     54,                0.76464,                0.54552,                0.85612,                0.78837,                0.72649,                0.81714,                 0.5701,                0.76251,                0.55599,                0.85701,             0.00031703,             0.00031703,             0.00031703
                     55,                0.76943,                0.52768,                 0.8487,                0.57896,                0.91228,                 0.8377,                0.60065,                0.75567,                0.55676,                0.85538,             0.00031042,             0.00031042,             0.00031042
                     56,                0.75871,                0.51972,                0.84866,                0.78533,                0.77063,                0.83009,                0.61111,                0.76413,                0.54374,                0.85691,             0.00030382,             0.00030382,             0.00030382
                     57,                0.76388,                0.51958,                0.85495,                0.78433,                0.77783,                0.79766,                 0.5933,                0.76683,                 0.5503,                 0.8544,             0.00029722,             0.00029722,             0.00029722
