                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74512,                 0.5223,                 0.8497,                0.91425,                0.94072,                0.97712,                0.80161,                0.57685,                0.38261,                0.80886,             0.00021632,             0.00021632,             0.00021632
                      2,                0.81135,                0.56264,                0.86377,                 0.8107,                0.93036,                0.96967,                0.77732,                0.61897,                0.41578,                0.81505,             0.00043431,             0.00043431,             0.00043431
                      3,                0.80623,                0.57201,                0.86066,                0.88661,                0.91277,                0.97795,                0.78191,                 0.6581,                0.44272,                 0.8228,              0.0006479,              0.0006479,              0.0006479
                      4,                0.82206,                0.58832,                 0.8636,                0.90093,                 0.9368,                0.97524,                0.74948,                0.64627,                0.44062,                0.82175,             0.00064719,             0.00064719,             0.00064719
                      5,                0.81142,                 0.5802,                0.86059,                0.91949,                0.85957,                0.94836,                0.71283,                0.64911,                0.44839,                0.82251,             0.00064059,             0.00064059,             0.00064059
                      6,                 0.8213,                0.58205,                 0.8614,                0.91248,                0.88486,                0.94061,                0.72205,                0.66519,                0.45038,                0.82436,             0.00063398,             0.00063398,             0.00063398
                      7,                0.79073,                0.57227,                 0.8613,                 0.9027,                0.87576,                0.95245,                0.72581,                0.67294,                  0.463,                0.82776,             0.00062738,             0.00062738,             0.00062738
                      8,                0.81525,                0.57821,                0.86275,                0.85826,                0.86341,                0.94517,                0.72755,                0.67066,                0.47506,                0.82757,             0.00062078,             0.00062078,             0.00062078
                      9,                0.79709,                0.56416,                0.86376,                0.82849,                0.86655,                0.92277,                0.69241,                 0.6625,                0.46409,                0.82824,             0.00061417,             0.00061417,             0.00061417
                     10,                0.80022,                0.57459,                0.85563,                0.91335,                0.81504,                 0.9219,                0.66188,                0.69973,                0.47482,                0.83628,             0.00060757,             0.00060757,             0.00060757
                     11,                0.78948,                0.54387,                0.86676,                0.83411,                 0.8928,                0.92992,                 0.6917,                0.67686,                0.47011,                 0.8279,             0.00060097,             0.00060097,             0.00060097
                     12,                0.78483,                0.55125,                0.86036,                0.88549,                0.87014,                0.92178,                0.70517,                0.66705,                0.44688,                0.82734,             0.00059436,             0.00059436,             0.00059436
                     13,                0.80171,                0.56418,                 0.8626,                0.87294,                0.89581,                0.95204,                0.73758,                0.67876,                 0.4816,                0.83026,             0.00058776,             0.00058776,             0.00058776
                     14,                 0.8058,                0.56382,                0.86133,                0.86372,                0.86684,                0.92837,                0.69976,                0.70932,                0.46519,                0.83256,             0.00058116,             0.00058116,             0.00058116
