                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.747,                 3.9838,                 1.1862,                0.01829,                 0.4187,                0.07699,                0.04384,                 1.3063,                 3.5797,                0.96364,             0.00021632,             0.00021632,             0.00021632
                      2,                 1.5163,                 2.1972,                 1.0146,                0.74615,                0.16789,                0.11444,                0.07131,                 1.2758,                 2.0667,                0.92708,             0.00043431,             0.00043431,             0.00043431
                      3,                  1.365,                 1.8313,                0.98084,                0.76775,                0.19253,                0.15474,                0.09675,                 1.1623,                  1.745,                0.95482,              0.0006479,              0.0006479,              0.0006479
                      4,                 1.2564,                 1.6292,                0.96497,                0.72439,                0.20041,                0.16988,                0.10577,                 1.1094,                 1.5921,                0.96318,             0.00064719,             0.00064719,             0.00064719
                      5,                 1.2566,                 1.6215,                0.97515,                0.79929,                0.24366,                0.19807,                0.13318,                 1.0002,                 1.3162,                 0.9288,             0.00064059,             0.00064059,             0.00064059
                      6,                 1.2139,                 1.5211,                0.96574,                0.79197,                0.20902,                0.21664,                0.14369,                 1.0884,                 1.3964,                0.93186,             0.00063398,             0.00063398,             0.00063398
                      7,                 1.1887,                 1.4871,                0.96265,                0.83911,                0.18663,                0.23327,                0.16478,                 1.0282,                 1.2511,                0.92579,             0.00062738,             0.00062738,             0.00062738
                      8,                 1.1536,                 1.3858,                0.94881,                0.81166,                0.19651,                0.24348,                0.17046,                0.97638,                 1.1783,                 0.9154,             0.00062078,             0.00062078,             0.00062078
                      9,                 1.1047,                 1.3623,                0.95373,                0.73307,                 0.2855,                0.24776,                0.17777,                 0.9524,                 1.3061,                0.90653,             0.00061417,             0.00061417,             0.00061417
                     10,                 1.1163,                 1.3066,                0.93368,                 0.8194,                0.28565,                0.29511,                0.21392,                0.93039,                 1.1321,                0.90579,             0.00060757,             0.00060757,             0.00060757
                     11,                 1.0748,                 1.2521,                0.94314,                0.78911,                0.33612,                0.30685,                0.21749,                0.99886,                 1.1635,                0.91437,             0.00060097,             0.00060097,             0.00060097
                     12,                 1.0739,                 1.2279,                0.93048,                0.78668,                0.34855,                0.30677,                0.21733,                0.98432,                 1.1625,                0.90293,             0.00059436,             0.00059436,             0.00059436
                     13,                 1.0617,                 1.2158,                 0.9181,                0.77984,                0.37926,                0.33671,                 0.2469,                0.89471,                 1.1246,                 0.8945,             0.00058776,             0.00058776,             0.00058776
                     14,                 1.0667,                 1.1746,                0.92292,                 0.8575,                0.28959,                0.34596,                0.25002,                0.88181,                 1.0049,                0.89151,             0.00058116,             0.00058116,             0.00058116
                     15,                 1.0609,                 1.1483,                0.92343,                0.80644,                0.33606,                0.39595,                 0.2802,                0.88371,                0.98509,                 0.8886,             0.00057455,             0.00057455,             0.00057455
                     16,                 1.0439,                  1.129,                0.92222,                0.82264,                 0.3143,                0.41777,                0.29984,                0.89407,                 1.0003,                0.89172,             0.00056795,             0.00056795,             0.00056795
                     17,                 1.0104,                 1.1228,                0.92015,                0.77152,                0.35575,                 0.4339,                0.31242,                0.88457,                0.99779,                0.89445,             0.00056135,             0.00056135,             0.00056135
                     18,                 1.0212,                  1.085,                0.91974,                0.61741,                0.42742,                0.47431,                0.34194,                0.88285,                0.95996,                0.88749,             0.00055474,             0.00055474,             0.00055474
                     19,                 1.0129,                 1.0593,                0.91068,                 0.6167,                0.43873,                0.46028,                0.32508,                0.89194,                0.91952,                 0.8905,             0.00054814,             0.00054814,             0.00054814
                     20,                0.99939,                 1.0272,                0.91154,                0.62539,                0.41525,                0.42983,                0.31438,                0.89142,                0.94307,                0.89522,             0.00054154,             0.00054154,             0.00054154
                     21,                 1.0013,                 1.0153,                0.90359,                0.66464,                0.41771,                0.44003,                0.32093,                0.86699,                0.93217,                0.88967,             0.00053493,             0.00053493,             0.00053493
                     22,                0.98469,                 0.9882,                0.90856,                0.72992,                0.45691,                0.46657,                0.33696,                0.88919,                0.91065,                0.89154,             0.00052833,             0.00052833,             0.00052833
                     23,                0.98047,                0.98336,                0.90415,                0.67112,                0.46825,                0.48555,                0.34045,                0.90629,                0.88039,                0.89865,             0.00052173,             0.00052173,             0.00052173
                     24,                0.98678,                 0.9645,                0.90898,                0.68941,                0.44963,                0.47493,                0.33982,                0.86381,                0.86376,                0.88513,             0.00051512,             0.00051512,             0.00051512
                     25,                0.97869,                0.95112,                0.91044,                0.69502,                0.46489,                0.50663,                0.35852,                0.89817,                0.90088,                0.88855,             0.00050852,             0.00050852,             0.00050852
                     26,                0.98395,                0.96583,                0.90651,                0.70858,                0.46035,                0.52442,                0.37649,                0.85916,                0.87236,                0.88684,             0.00050192,             0.00050192,             0.00050192
                     27,                0.94349,                0.93094,                 0.8939,                0.65249,                0.51148,                 0.5632,                0.39914,                0.85099,                0.83823,                0.88334,             0.00049531,             0.00049531,             0.00049531
                     28,                0.94752,                0.91808,                0.90505,                0.84023,                0.39807,                0.53061,                0.37547,                 0.8761,                0.85355,                0.89458,             0.00048871,             0.00048871,             0.00048871
                     29,                0.95202,                 0.9302,                0.90599,                0.74374,                0.45724,                0.52876,                0.37488,                 0.9011,                 0.9283,                0.88661,             0.00048211,             0.00048211,             0.00048211
                     30,                0.96855,                0.90935,                0.90375,                0.74599,                0.48241,                0.51586,                0.36647,                0.87454,                0.85427,                0.88523,              0.0004755,              0.0004755,              0.0004755
                     31,                 0.9381,                0.88039,                0.88874,                0.70479,                0.49548,                 0.5145,                0.36703,                0.85427,                0.82698,                0.88557,              0.0004689,              0.0004689,              0.0004689
                     32,                0.94187,                0.87496,                0.89956,                 0.7305,                 0.4529,                 0.5241,                0.36585,                0.87123,                0.87244,                 0.8863,              0.0004623,              0.0004623,              0.0004623
                     33,                0.93267,                0.85807,                0.90406,                0.66378,                0.51048,                0.52223,                0.37716,                 0.8628,                0.82478,                 0.8832,             0.00045569,             0.00045569,             0.00045569
                     34,                0.93608,                0.82407,                0.88972,                 0.6987,                0.44902,                 0.5049,                0.35211,                0.86085,                 0.8993,                0.88387,             0.00044909,             0.00044909,             0.00044909
