                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8044,                 3.9954,                 1.1977,                0.02104,                0.43822,                0.16575,                0.10404,                 1.3339,                  3.538,                0.93909,             0.00021632,             0.00021632,             0.00021632
                      2,                  1.527,                 2.1997,                 1.0106,                0.88416,                0.17426,                0.14496,                 0.0902,                 1.2289,                 2.0482,                0.90069,             0.00043431,             0.00043431,             0.00043431
                      3,                 1.3719,                 1.7594,                0.97671,                0.64415,                0.21037,                0.16835,                0.10657,                 1.1601,                 1.7357,                0.92016,              0.0006479,              0.0006479,              0.0006479
                      4,                 1.2969,                 1.6802,                 0.9586,                0.64572,                0.21333,                0.17991,                0.11877,                 1.0643,                 1.5938,                0.92593,             0.00064719,             0.00064719,             0.00064719
                      5,                 1.2727,                 1.6524,                 0.9712,                0.85164,                0.19896,                0.19042,                0.12896,                0.97106,                 1.3549,                0.92295,             0.00064059,             0.00064059,             0.00064059
                      6,                 1.2283,                 1.5059,                0.95468,                 0.6555,                 0.3356,                0.23038,                0.15836,                0.99622,                 1.3125,                0.91943,             0.00063398,             0.00063398,             0.00063398
                      7,                 1.1901,                 1.4586,                 0.9612,                0.86623,                0.29459,                0.32211,                0.22261,                0.95754,                 1.2461,                0.91783,             0.00062738,             0.00062738,             0.00062738
                      8,                 1.1553,                 1.3988,                0.95524,                0.87094,                0.30497,                0.32457,                0.21325,                0.94764,                 1.2271,                0.91578,             0.00062078,             0.00062078,             0.00062078
                      9,                 1.1191,                 1.4015,                0.94748,                0.86219,                0.28946,                0.33277,                 0.2379,                0.91212,                 1.2126,                0.90414,             0.00061417,             0.00061417,             0.00061417
                     10,                 1.0855,                 1.3133,                0.92233,                0.75311,                 0.3721,                0.34883,                0.25654,                0.87545,                 1.1556,                0.89461,             0.00060757,             0.00060757,             0.00060757
                     11,                  1.076,                 1.2763,                 0.9391,                0.82648,                0.34602,                0.36879,                0.26709,                0.91719,                 1.1127,                 0.9027,             0.00060097,             0.00060097,             0.00060097
                     12,                 1.0944,                 1.2895,                0.93619,                0.82008,                 0.3669,                0.37919,                0.27124,                0.86565,                 1.0538,                0.88717,             0.00059436,             0.00059436,             0.00059436
                     13,                 1.0611,                 1.2289,                0.92252,                0.79876,                0.36804,                0.38753,                0.26814,                0.89191,                 1.0837,                0.89545,             0.00058776,             0.00058776,             0.00058776
                     14,                 1.0862,                  1.197,                0.93455,                0.81697,                0.37261,                0.41772,                0.29652,                0.90419,                 1.0512,                0.89758,             0.00058116,             0.00058116,             0.00058116
                     15,                 1.0349,                 1.1557,                0.91987,                0.85242,                0.36391,                0.43189,                 0.3344,                0.88186,                 1.0048,                0.88777,             0.00057455,             0.00057455,             0.00057455
                     16,                 1.0356,                 1.1229,                0.92389,                0.67518,                0.45516,                0.45266,                0.34607,                0.85616,                0.99841,                0.88739,             0.00056795,             0.00056795,             0.00056795
                     17,                 1.0217,                 1.1067,                0.92024,                0.74542,                0.39156,                0.46462,                0.33791,                0.86546,                0.96635,                 0.8844,             0.00056135,             0.00056135,             0.00056135
                     18,                 1.0174,                 1.0719,                0.91741,                0.74477,                0.40079,                 0.4632,                0.33339,                0.95511,                0.94489,                0.89516,             0.00055474,             0.00055474,             0.00055474
                     19,                 1.0196,                 1.0629,                0.91311,                  0.684,                0.47593,                0.48197,                0.35936,                0.87517,                0.97085,                0.88691,             0.00054814,             0.00054814,             0.00054814
                     20,                 1.0188,                 1.0675,                0.91015,                0.71341,                0.42437,                0.49184,                0.35316,                0.89469,                0.94167,                0.88479,             0.00054154,             0.00054154,             0.00054154
                     21,                 1.0341,                 1.0493,                0.91092,                0.69618,                0.48034,                0.51129,                0.37691,                0.86715,                0.99466,                0.88277,             0.00053493,             0.00053493,             0.00053493
                     22,                0.99617,                 1.0086,                0.91398,                 0.7742,                0.46678,                0.52766,                0.37849,                0.83365,                0.91712,                0.88235,             0.00052833,             0.00052833,             0.00052833
                     23,                0.97527,                0.98516,                0.90674,                0.83744,                0.43528,                0.54426,                0.39971,                0.81428,                0.85314,                0.87673,             0.00052173,             0.00052173,             0.00052173
                     24,                      1,                 1.0023,                0.91385,                 0.5426,                0.58065,                 0.5163,                0.37079,                 0.8713,                0.93597,                0.88998,             0.00051512,             0.00051512,             0.00051512
                     25,                0.99034,                0.97229,                0.90913,                0.79077,                0.44975,                0.53726,                0.38348,                0.86575,                0.86521,                0.88064,             0.00050852,             0.00050852,             0.00050852
                     26,                 1.0086,                0.97402,                0.91257,                0.76567,                0.46998,                0.55957,                0.39544,                0.84559,                 0.8759,                0.87936,             0.00050192,             0.00050192,             0.00050192
                     27,                0.95262,                0.95409,                0.89973,                0.72206,                0.50376,                0.55495,                0.40422,                0.82184,                0.91713,                0.88176,             0.00049531,             0.00049531,             0.00049531
                     28,                0.95764,                0.92275,                0.90323,                0.77279,                0.46309,                0.55382,                0.41209,                0.86675,                0.86044,                0.88712,             0.00048871,             0.00048871,             0.00048871
                     29,                0.96275,                0.91999,                0.90192,                0.85275,                0.45756,                0.56934,                0.39818,                0.86294,                0.82209,                0.88482,             0.00048211,             0.00048211,             0.00048211
                     30,                0.96371,                0.91563,                0.89725,                0.79326,                0.46816,                0.57982,                0.41254,                0.83844,                0.79754,                0.88118,              0.0004755,              0.0004755,              0.0004755
                     31,                0.93758,                0.87846,                0.89221,                 0.6828,                0.52612,                0.58688,                0.43585,                0.83633,                0.79878,                0.88075,              0.0004689,              0.0004689,              0.0004689
                     32,                0.94589,                 0.8899,                0.90094,                0.66371,                0.55172,                0.59186,                0.40928,                0.85871,                0.80553,                0.88729,              0.0004623,              0.0004623,              0.0004623
