                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.90743,                0.79071,                0.88175,                0.75299,                0.53501,                0.54157,                0.39168,                0.85984,                0.85771,                0.89586,             0.00043588,             0.00043588,             0.00043588
                     37,                 0.9155,                0.80087,                0.88565,                0.75599,                0.52298,                 0.5865,                0.39887,                0.89467,                0.85562,                0.90128,             0.00042928,             0.00042928,             0.00042928
                     38,                 0.9147,                0.80467,                0.89396,                0.77279,                 0.5163,                0.52947,                0.38508,                0.88545,                 0.8582,                0.90272,             0.00042268,             0.00042268,             0.00042268
                     39,                0.88122,                0.76213,                0.88273,                0.77053,                0.51025,                0.52093,                0.38161,                0.87924,                0.85612,                0.90027,             0.00041607,             0.00041607,             0.00041607
                     40,                 0.8918,                0.78537,                0.87711,                0.74246,                0.50564,                0.50928,                0.35643,                0.88898,                0.87373,                0.90565,             0.00040947,             0.00040947,             0.00040947
                     41,                0.90616,                0.78342,                0.87727,                0.74475,                0.53649,                 0.5532,                0.38541,                0.88561,                0.87128,                0.90189,             0.00040287,             0.00040287,             0.00040287
                     42,                0.90057,                  0.766,                0.87642,                 0.6858,                0.50325,                0.55015,                0.39131,                0.86372,                0.83855,                0.89834,             0.00039626,             0.00039626,             0.00039626
                     43,                0.89128,                0.75663,                0.87816,                0.72047,                0.51881,                0.55098,                0.39295,                0.86028,                0.82702,                0.89598,             0.00038966,             0.00038966,             0.00038966
                     44,                0.86482,                0.74713,                 0.8837,                0.64181,                0.56506,                0.54945,                0.39481,                0.87175,                0.81332,                0.89955,             0.00038306,             0.00038306,             0.00038306
                     45,                0.87546,                0.74666,                0.88526,                0.75334,                0.56284,                0.53078,                0.37899,                0.87285,                0.82219,                 0.9004,             0.00037645,             0.00037645,             0.00037645
                     46,                0.89045,                0.75856,                0.87803,                0.65487,                0.55046,                0.58737,                0.40578,                0.87198,                0.92998,                0.89685,             0.00036985,             0.00036985,             0.00036985
                     47,                0.85927,                0.72732,                0.87567,                 0.8148,                0.48867,                0.55099,                0.40746,                0.84735,                0.81505,                0.89452,             0.00036325,             0.00036325,             0.00036325
                     48,                0.84691,                0.69934,                0.87647,                 0.7912,                 0.4986,                0.55056,                0.39292,                0.85628,                0.80894,                 0.8981,             0.00035664,             0.00035664,             0.00035664
                     49,                0.85907,                0.71948,                0.87773,                0.77109,                0.52749,                0.52968,                0.38737,                 0.8708,                0.82204,                0.90092,             0.00035004,             0.00035004,             0.00035004
                     50,                0.84843,                0.69434,                0.87637,                0.72522,                 0.5034,                0.58161,                0.42424,                0.89095,                0.79156,                0.90405,             0.00034344,             0.00034344,             0.00034344
                     51,                0.87442,                0.70607,                0.87489,                0.67709,                0.52576,                0.59864,                0.43294,                0.86975,                0.79024,                0.89704,             0.00033683,             0.00033683,             0.00033683
                     52,                 0.8474,                0.70078,                0.87885,                0.55098,                0.57519,                 0.5846,                0.42012,                0.86748,                0.78784,                0.89504,             0.00033023,             0.00033023,             0.00033023
                     53,                0.84542,                0.69853,                0.86992,                0.59659,                0.59076,                0.61432,                0.43635,                0.86694,                0.80752,                0.89879,             0.00032363,             0.00032363,             0.00032363
                     54,                0.84353,                0.68951,                 0.8705,                0.75804,                0.50207,                0.66641,                0.46087,                0.86045,                0.83724,                0.89748,             0.00031703,             0.00031703,             0.00031703
                     55,                0.83401,                0.68643,                0.86835,                0.72007,                 0.5273,                0.60835,                0.42402,                 0.8883,                0.81404,                0.90252,             0.00031042,             0.00031042,             0.00031042
                     56,                0.85056,                0.68948,                0.87181,                0.52562,                0.60499,                0.60249,                0.43105,                0.89686,                0.83091,                0.90583,             0.00030382,             0.00030382,             0.00030382
                     57,                0.84953,                0.69296,                0.87111,                0.62495,                0.55997,                0.60717,                0.43243,                0.87082,                0.83118,                0.90099,             0.00029722,             0.00029722,             0.00029722
                     58,                0.82531,                0.66296,                0.87271,                0.55845,                 0.6371,                0.59828,                0.42581,                0.87512,                0.82301,                0.89918,             0.00029061,             0.00029061,             0.00029061
                     59,                0.84133,                0.67373,                0.87239,                 0.7171,                0.49582,                0.59545,                0.41778,                0.85212,                0.79786,                0.89528,             0.00028401,             0.00028401,             0.00028401
                     60,                 0.8561,                0.68039,                0.86638,                0.60541,                0.67108,                0.60204,                0.43047,                0.86225,                0.80662,                0.89715,             0.00027741,             0.00027741,             0.00027741
                     61,                0.82115,                 0.6462,                0.87248,                0.59805,                0.63806,                0.61322,                0.44169,                 0.8638,                0.81564,                0.89513,              0.0002708,              0.0002708,              0.0002708
                     62,                0.82954,                0.65989,                0.86864,                0.59192,                0.66864,                0.59806,                0.44088,                0.85889,                0.78794,                0.90267,              0.0002642,              0.0002642,              0.0002642
                     63,                0.83717,                0.66601,                0.86795,                0.65496,                0.66704,                0.64782,                0.47299,                 0.8853,                0.82063,                0.90837,              0.0002576,              0.0002576,              0.0002576
                     64,                0.84055,                0.65862,                 0.8723,                0.64799,                0.67001,                0.64333,                0.45128,                0.88923,                0.79294,                0.90697,             0.00025099,             0.00025099,             0.00025099
                     65,                0.81282,                0.63609,                 0.8685,                0.75066,                0.57964,                 0.6101,                 0.4438,                0.86972,                 0.7873,                0.90105,             0.00024439,             0.00024439,             0.00024439
                     66,                 0.8195,                0.63509,                 0.8646,                0.71523,                0.58416,                0.67885,                0.47836,                0.89526,                0.81129,                0.90311,             0.00023779,             0.00023779,             0.00023779
                     67,                0.81905,                0.64135,                0.86713,                0.78343,                0.56687,                0.60656,                0.43848,                0.86882,                0.79031,                0.89776,             0.00023118,             0.00023118,             0.00023118
                     68,                0.81304,                0.63085,                0.86155,                0.64135,                0.66115,                0.63952,                0.45979,                0.87508,                 0.8085,                0.90441,             0.00022458,             0.00022458,             0.00022458
                     69,                0.79262,                0.61382,                0.86052,                  0.627,                 0.6608,                0.63045,                0.45037,                0.85807,                0.80775,                0.89974,             0.00021798,             0.00021798,             0.00021798
                     70,                0.80337,                0.61665,                0.86327,                0.63117,                0.66517,                0.64877,                0.46611,                0.85748,                 0.7746,                 0.8992,             0.00021137,             0.00021137,             0.00021137
                     71,                 0.7844,                 0.6121,                0.86953,                0.71259,                0.62654,                0.63445,                0.45899,                0.87399,                0.77874,                0.90381,             0.00020477,             0.00020477,             0.00020477
                     72,                0.78062,                0.60925,                0.85591,                0.73205,                0.63006,                0.63221,                0.43746,                0.87479,                0.79178,                0.90174,             0.00019817,             0.00019817,             0.00019817
